index,Source,Target,Source_repo,Target_repo,same_dev,description,relation_type
0,433411,437217,tempest,devstack,True,,
1,270356,270388,diskimage-builder,python-neutronclient,True,,
2,544025,563173,heat-tempest-plugin,requirements,True,,
3,403714,493747,openstack-ansible-os_rally,openstack-ansible-os_swift,False,,
4,121296,124935,ironic,pycadf,False,,
5,239760,250501,fuel-nailgun-agent,fuel-agent,False,,
6,815204,817834,tripleo-ansible,tripleo-heat-templates,False,,
7,535608,538549,glance,requirements,False,,
8,254280,288392,python-neutronclient,neutron,False,,
9,487112,487177,releases,requirements,False,,
10,403712,493743,openstack-ansible-os_ironic,openstack-ansible-os_horizon,False,,
11,577656,578195,kuryr-kubernetes,kuryr-tempest-plugin,False,,
12,475040,476865,openstack-ansible-os_keystone,openstack-ansible-tests,True,,
13,579208,579597,openstack-ansible-tests,openstack-ansible-os_panko,False,,
14,564378,794957,tripleo-heat-templates,neutron,False,,
15,523881,523882,python-designateclient,project-config,True,,
16,270394,270403,python-watcherclient,heat-cfnclient,True,,
17,610609,612340,openstack-ansible-os_sahara,openstack-ansible-os_cinder,False,,
18,513157,513265,openstack-ansible-lxc_container_create,openstack-ansible-lxc_hosts,True,,
19,490376,499438,tripleo-quickstart,tripleo-heat-templates,False,,
20,415024,525529,project-config,ironic-python-agent,True,,
21,536507,536572,os-net-config,os-apply-config,True,,
22,759478,759485,python-tripleoclient,tripleo-upgrade,True,,
23,329529,329530,puppet-tripleo,tripleo-heat-templates,True,,
24,121318,121328,swift,hacking,True,,
25,663021,663875,kolla,kolla-ansible,True,,
26,739530,739533,python-tripleoclient,tripleo-common,True,,
27,811117,811303,grenade,devstack,False,,
28,452845,453316,charm-neutron-openvswitch,charm-percona-cluster,True,,
29,841489,860895,requirements,neutron,False,,
30,817672,817673,kayobe-config-dev,kayobe,True,,
31,536579,536588,os-net-config,puppet-tripleo,True,,
32,118694,118729,swift,oslo.vmware,False,,
33,367876,367891,openstack-ansible-os_keystone,openstack-ansible-os_swift,True,,
34,450842,457347,tripleo-heat-templates,puppet-nova,False,,
35,473081,473158,tripleo-quickstart,tripleo-ci,True,,
36,448827,452715,puppet-neutron,tripleo-heat-templates,False,,
37,281369,281376,puppet-openstack_spec_helper,puppet-pacemaker,True,,
38,558569,558576,charm-ceph-fs,charm-rabbitmq-server,True,,
39,670150,686215,puppet-neutron,neutron,False,,
40,558281,567269,charm-designate-bind,charms.openstack,True,,
41,518960,522645,puppet-nova,tripleo-heat-templates,True,,
42,315746,316299,fuel-library,fuel-agent,True,,
43,367860,367888,openstack-ansible-openstack_openrc,openstack-ansible-os_rally,True,,
44,660988,661018,kolla,kolla-ansible,True,,
45,810791,815862,puppet-tripleo,puppet-manila,False,,
46,558276,558295,charm-ceph-radosgw,charm-nova-cloud-controller,True,,
47,639096,642321,openstack-zuul-jobs,kuryr-libnetwork,True,,
48,696387,859027,tripleo-quickstart-extras,openstack-tempest-skiplist,False,,
49,523213,523649,nova,ossa,False,,
50,846125,846194,tripleo-quickstart-extras,tripleo-quickstart,True,,
51,514912,519856,puppet-openstack-integration,puppet-octavia,True,,
52,688201,690389,tripleo-common,python-tripleoclient,True,,
53,782611,792166,tripleo-heat-templates,tripleo-ansible,True,,
54,522526,522735,openstack-ansible,openstack-ansible-os_nova,True,,
55,121318,123979,swift,rally,False,,
56,555897,555900,project-config,governance,True,,
57,512827,516490,puppet-heat,puppet-openstack-integration,False,,
58,121294,121309,glance-specs,python-glanceclient,True,,
59,513091,513112,openstack-ansible-tests,openstack-ansible-os_cloudkitty,True,,
60,536579,537262,os-net-config,tripleo-heat-templates,False,,
61,71981,71983,cliff,taskflow,True,,
62,777002,786159,tripleo-heat-templates,tripleo-ansible,False,,
63,745678,745683,diskimage-builder,octavia,True,,
64,233294,233297,murano,murano-apps,True,,
65,640897,641159,tripleo-heat-templates,tripleo-ci,True,,
66,814535,814560,openstack-ansible-os_tempest,openstack-ansible,False,,
67,635476,635779,cloudkitty-specs,cloudkitty,True,,
68,776341,776344,charm-ceph-radosgw,charm-cinder-backup,True,,
69,536489,536567,diskimage-builder,python-tripleoclient,True,,
70,779389,779395,openstack-chef,cookbook-openstack-image,True,,
71,724825,728001,neutron,networking-ovn,False,,
72,288128,288129,releases,requirements,True,,
73,690755,691015,openstacksdk,python-senlinclient,True,,
74,491362,491364,puppet-sahara,puppet-openstack-integration,True,,
75,829428,831540,tripleo-heat-templates,tripleo-ansible,True,,
76,117182,128405,solum-specs,solum,True,,
77,674243,675023,nova,python-novaclient,True,,
78,685335,687320,puppet-ironic,python-tripleoclient,True,,
79,802537,802544,tripleo-ci,tripleo-heat-templates,True,,
80,516519,519930,puppet-openstack-integration,puppet-ceilometer,True,,
81,271980,271983,project-config,requirements,True,,
82,633246,634443,tripleo-heat-templates,puppet-tripleo,True,,
83,731859,731869,cookbook-openstack-identity,cookbook-openstack-bare-metal,True,,
84,238444,238459,fuel-menu,fuel-main,True,,
85,831547,841580,tripleo-ansible,tripleo-heat-templates,True,,
86,98898,105521,ceilometer,nova,False,,
87,535458,537447,tripleo-quickstart,tripleo-quickstart-extras,True,,
88,619508,620303,tripleo-ci,tripleo-common,True,,
89,529772,530250,puppet-qdr,puppet-openstack-integration,True,,
90,804416,805978,ironic,python-ironicclient,True,,
91,764527,764539,searchlight-specs,openstack-manuals,True,,
92,558278,558574,charm-cinder-backup,charm-ceph-osd,True,,
93,838051,843709,devstack,designate,True,,
94,555034,555917,openstack-zuul-jobs,murano-dashboard,True,,
95,711195,712315,horizon,requirements,True,,
96,522543,522544,project-config,governance,True,,
97,169475,169483,openstack-chef-repo,cookbook-openstack-block-storage,True,,
98,121309,121328,python-glanceclient,hacking,True,,
99,558289,558295,charm-manila,charm-nova-cloud-controller,True,,
100,813767,813888,cliff,python-tripleoclient,True,,
101,614827,615177,tripleo-heat-templates,tripleo-common,False,,
102,563874,563950,tripleo-common,tripleo-heat-templates,True,,
103,533770,543240,oslo.serialization,tooz,True,,
104,779389,779394,openstack-chef,cookbook-openstack-identity,True,,
105,176151,176391,oslo-incubator,keystone,True,,
